Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2019-03-10T06:42:30.848Z, triceps, r, 98.007065, 156.11124, 9.9
2019-03-10T06:42:12.802Z, shoulders, l, 98.01569, 148.45456, 9.1
2019-03-10T06:41:55.884Z, shoulders, r, 99.55017, 157.9779, 8.1
2019-03-10T06:41:40.177Z, quads, l, 99.03433, 165.1441, 8.5
2019-03-10T06:41:21.413Z, quads, r, 99.48904, 171.30103, 7.5
2019-03-10T06:40:57.341Z, lower_back, l, 99.55856, 159.96405, 8.1
2019-03-10T06:40:42.043Z, lower_back, r, 99.583336, 160.43103, 7.6
2019-03-10T06:40:22.017Z, hamstrings, l, 99.429565, 159.71008, 8.8
2019-03-10T06:39:52.988Z, hamstrings, r, 99.87576, 170.8422, 7.5
2019-03-10T06:39:35.125Z, glutes, l, 99.12913, 145.53845, 10
2019-03-10T06:39:15.284Z, glutes, r, 99.65249, 152.52829, 8.7
2019-03-10T06:38:52.781Z, forearms, l, 87.16926, 126.438286, 9.5
2019-03-10T06:38:38.287Z, forearms, r, 99.04106, 136.04626, 7.6
2019-03-10T06:38:21.868Z, chest, l, 99.440125, 168.48454, 8.1
2019-03-10T06:37:55.634Z, chest, r, 99.41289, 168.01468, 7.5
2019-03-10T06:37:35.290Z, calves, l, 98.807365, 140.80038, 9.8
2019-03-10T06:37:19.768Z, calves, r, 98.68884, 140.38474, 9.4
2019-03-10T06:37:00.145Z, biceps, l, 97.129616, 141.51987, 9.2
2019-03-10T06:36:44.936Z, biceps, r, 98.558334, 144.78868, 8.9
2019-03-10T06:36:27.345Z, abs, l, 99.12547, 171.61017, 6.5
2019-03-10T06:36:09.341Z, abs, r, 99.16328, 172.15201, 6.7
2019-03-03T07:30:13.034Z, total, r, 99.47648, 162.58302, 8.8
2019-03-03T07:30:11.035Z, upper_back, l, 99.70264, 162.69467, 7.1
2019-03-03T07:29:19.826Z, upper_back, r, 98.930565, 155.8719, 7.7
2019-03-03T07:28:44.636Z, triceps, l, 96.97729, 152.78111, 10.4
2019-03-03T07:28:27.984Z, triceps, r, 98.11837, 156.56418, 10.1
2019-03-03T07:28:09.760Z, shoulders, l, 98.50655, 150.3109, 9.4
2019-03-03T07:27:50.631Z, shoulders, r, 99.34472, 155.59406, 8.7
2019-03-03T07:27:33.045Z, quads, l, 98.78834, 162.92819, 8.2
2019-03-03T07:27:17.873Z, quads, r, 98.47031, 160.63577, 8.5
2019-03-03T07:26:59.517Z, lower_back, l, 99.58504, 160.46416, 7.9
2019-03-03T07:26:42.554Z, lower_back, r, 99.66682, 162.23665, 7.5
2019-03-03T07:26:23.203Z, hamstrings, l, 99.614716, 162.58911, 7.9
2019-03-03T07:26:08.129Z, hamstrings, r, 99.69627, 164.32846, 7.9
2019-03-03T07:25:51.931Z, glutes, l, 98.88334, 143.62668, 10.1
2019-03-03T07:25:23.266Z, glutes, r, 97.98195, 139.01234, 10.9
