Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2018-04-15T07:03:13.791Z, triceps, r, 98.502426, 158.35156, 10.5
2018-04-15T07:02:58.185Z, shoulders, l, 99.036804, 153.13751, 9.4
2018-04-15T07:02:41.449Z, shoulders, r, 99.00586, 152.93494, 9.4
2018-04-15T07:02:20.790Z, quads, l, 99.17352, 166.65657, 9.5
2018-04-15T07:02:05.850Z, quads, r, 99.25105, 167.61115, 8.1
2018-04-15T07:01:44.161Z, lower_back, l, 99.67937, 162.54637, 8.2
2018-04-15T07:01:27.331Z, lower_back, r, 99.71586, 163.5202, 8.2
2018-04-15T07:01:00.464Z, hamstrings, l, 99.80637, 167.61246, 8.7
2018-04-15T07:00:44.764Z, hamstrings, r, 99.66605, 163.63521, 9
2018-04-15T07:00:27.664Z, glutes, l, 99.84712, 158.72359, 8.7
2018-04-15T06:59:59.040Z, glutes, r, 99.84193, 158.47206, 8.5
2018-04-15T06:59:36.766Z, forearms, l, 84.22903, 125.395485, 10.8
2018-04-15T06:59:21.245Z, forearms, r, 98.08857, 133.7242, 9.5
2018-04-15T06:59:03.603Z, chest, l, 99.41806, 168.1022, 8.7
2018-04-15T06:58:42.182Z, chest, r, 99.366684, 167.26462, 9.2
2018-04-15T06:58:13.521Z, calves, l, 97.72453, 137.93454, 9.8
2018-04-15T06:57:58.532Z, calves, r, 98.179245, 138.93292, 10.5
2018-04-15T06:57:40.350Z, biceps, l, 93.05085, 137.01743, 11.3
2018-04-15T06:57:25.139Z, biceps, r, 95.94009, 139.81311, 10.8
2018-04-15T06:57:09.305Z, abs, l, 99.11403, 171.45059, 7
2018-04-15T06:56:54.278Z, abs, r, 99.4387, 177.02689, 6.5
2018-04-08T06:45:56.997Z, total, r, 99.76894, 169.18535, 7.7
2018-04-08T06:45:50.881Z, upper_back, l, 99.391426, 158.89345, 7.5
2018-04-08T06:44:34.579Z, upper_back, r, 99.35691, 158.59924, 7.8
2018-04-08T06:44:00.341Z, triceps, l, 94.77451, 148.21503, 13.5
2018-04-08T06:43:40.309Z, triceps, r, 98.10553, 156.51065, 10.8
2018-04-08T06:43:15.702Z, shoulders, l, 99.01248, 152.97778, 9.6
2018-04-08T06:42:55.587Z, shoulders, r, 99.23658, 154.62224, 9.1
2018-04-08T06:42:41.992Z, quads, l, 99.190155, 166.8537, 8.3
2018-04-08T06:42:17.335Z, quads, r, 99.43165, 170.27602, 7.6
2018-04-08T06:41:55.193Z, lower_back, l, 99.757545, 164.79787, 7.8
2018-04-08T06:41:36.391Z, lower_back, r, 99.84785, 168.54364, 7.1
2018-04-08T06:41:13.710Z, hamstrings, l, 99.67581, 163.85193, 8.9
